Name,smiles,MolecularWeight
Cc1ccc(C)c(B(c2ccc(F)cc2)c2ccc(C(=O)O)cc2)c1,[B](c1ccc(F)cc1)(c1cc(C)ccc1C)(c1ccc(C(=O)O)cc1),332.18
N#Cc1cccc(B(c2ccc(Cl)cc2)c2ccccc2F)c1,[B](c1ccc(Cl)cc1)(c1cc(C#N)ccc1)(c1ccccc1F),319.58
Cc1ccc(C)c(B(c2ccccc2)c2ccc(CCl)cc2)c1,[B](c1ccccc1)(c1cc(C)ccc1C)(c1ccc(CCl)cc1),318.66
Cc1ccc(B(c2ccc(CCl)cc2)c2ccccc2F)cc1,[B](c1ccc(C)cc1)(c1ccccc1F)(c1ccc(CCl)cc1),322.62
Cc1ccc(B(c2ccccc2)c2ccc(C)cc2)cc1,[B](c1ccccc1)(c1ccc(C)cc1)(c1ccc(C)cc1),270.18
Cc1ccc(C)c(B(c2cccc(C#N)c2)c2cc(C)ccc2C)c1,[B](c1cc(C)ccc1C)(c1cc(C)ccc1C)(c1cc(C#N)ccc1),323.25
Cc1ccc(B(c2ccc(C(=O)O)cc2)c2cc(C)ccc2C)cc1,[B](c1ccc(C)cc1)(c1cc(C)ccc1C)(c1ccc(C(=O)O)cc1),328.22
Cc1ccc(C)c(B(c2ccc(C(=O)O)cc2)c2ccccc2F)c1,[B](c1cc(C)ccc1C)(c1ccc(C(=O)O)cc1)(c1ccccc1F),332.18
O=C(O)c1ccc(B(c2ccccc2)c2ccc(C(=O)O)cc2)cc1,[B](c1ccccc1)(c1ccc(C(=O)O)cc1)(c1ccc(C(=O)O)cc1),330.15
O=C(O)c1ccc(B(c2ccc(CCl)cc2)c2ccccc2F)cc1,[B](c1ccc(C(=O)O)cc1)(c1ccccc1F)(c1ccc(CCl)cc1),352.6
N#Cc1cccc(B(c2ccccc2F)c2ccccc2F)c1,[B](c1cc(C#N)ccc1)(c1ccccc1F)(c1ccccc1F),303.12
Clc1ccc(B(c2ccc(Cl)cc2)c2ccc(Cl)cc2)cc1,[B](c1ccc(Cl)cc1)(c1ccc(Cl)cc1)(c1ccc(Cl)cc1),345.47
N#Cc1cccc(B(c2ccccc2)c2ccc(CCl)cc2)c1,[B](c1ccccc1)(c1cc(C#N)ccc1)(c1ccc(CCl)cc1),315.61
Cc1ccc(B(c2ccc(C)cc2)c2cccc(C#N)c2)cc1,[B](c1ccc(C)cc1)(c1ccc(C)cc1)(c1cc(C#N)ccc1),295.19
Cc1ccc(B(c2ccc(Cl)cc2)c2ccc(CCl)cc2)cc1,[B](c1ccc(Cl)cc1)(c1ccc(C)cc1)(c1ccc(CCl)cc1),339.07
Cc1ccc(C)c(B(c2ccc(Cl)cc2)c2cc(C)ccc2C)c1,[B](c1ccc(Cl)cc1)(c1cc(C)ccc1C)(c1cc(C)ccc1C),332.68
ClCc1ccc(B(c2ccccc2)c2ccc(CCl)cc2)cc1,[B](c1ccccc1)(c1ccc(CCl)cc1)(c1ccc(CCl)cc1),339.07
Cc1ccc(B(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1,[B](c1ccc(C)cc1)(c1ccc(C(=O)O)cc1)(c1ccc(C(=O)O)cc1),344.18
Cc1ccc(B(c2ccc(F)cc2)c2cc(C)ccc2C)cc1,[B](c1ccc(F)cc1)(c1ccc(C)cc1)(c1cc(C)ccc1C),302.2
Fc1ccc(B(c2ccccc2)c2ccccc2)cc1,[B](c1ccccc1)(c1ccccc1)(c1ccc(F)cc1),260.12
Cc1ccc(C)c(B(c2ccc(F)cc2)c2cccc(C#N)c2)c1,[B](c1ccc(F)cc1)(c1cc(C)ccc1C)(c1cc(C#N)ccc1),313.18
Cc1ccc(C)c(B(c2ccccc2)c2ccccc2)c1,[B](c1ccccc1)(c1ccccc1)(c1cc(C)ccc1C),270.18
